Title,Description
Gladiator,"Gladiator (2000) is a action film directed by Ridley Scott. Featuring David Franzoni, John Logan, William Nicholson, this movie has an IMDb rating of 8.5/10 and a MetaScore of 67.0. With a runtime of 155 minutes, it is rated R."
Mission: Impossible - Dead Reckoning Part One,"Mission: Impossible - Dead Reckoning Part One (2023) is a action film directed by Christopher McQuarrie. Featuring Tom Cruise, Hayley Atwell, Ving Rhames, this movie has an IMDb rating of 7.7/10 and a MetaScore of 81.0. With a runtime of 163 minutes, it is rated PG-13."
Inglourious Basterds,"Inglourious Basterds (2009) is a adventure film directed by Quentin Tarantino. Featuring Brad Pitt, Diane Kruger, Eli Roth, this movie has an IMDb rating of 8.4/10 and a MetaScore of 69.0. With a runtime of 153 minutes, it is rated R."
The Lord of the Rings: The Fellowship of the Ring,"The Lord of the Rings: The Fellowship of the Ring (2001) is a action film directed by Peter Jackson. Featuring J.R.R. Tolkien, Fran Walsh, Philippa Boyens, this movie has an IMDb rating of 8.9/10 and a MetaScore of 92.0. With a runtime of 178 minutes, it is rated PG-13."
Damsel,"Damsel (2024) is a action film directed by Juan Carlos Fresnadillo. Featuring Millie Bobby Brown, Ray Winstone, Angela Bassett, this movie has an IMDb rating of 6.1/10 and a MetaScore of 46.0. With a runtime of 110 minutes, it is rated PG-13."
Arthur the King,"Arthur the King (2024) is a adventure film directed by Simon Cellan Jones. Featuring Mark Wahlberg, Simu Liu, Juliet Rylance, this movie has an IMDb rating of 7.0/10 and a MetaScore of 54.0. With a runtime of 107 minutes, it is rated PG-13."
Golden Kamuy,"Golden Kamuy (2024) is a action film directed by Shigeaki Kubo. Featuring Kento Yamazaki, Anna Yamada, Yûma Yamoto, this movie has an IMDb rating of 6.3/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R."
WALL·E,"WALL·E (2008) is a animation film directed by Andrew Stanton. Featuring Ben Burtt, this movie has an IMDb rating of 8.4/10 and a MetaScore of 95.0. With a runtime of 98 minutes, it is rated G."
Spider-Man: Beyond the Spider-Verse,"Spider-Man: Beyond the Spider-Verse (2015) is a animation film directed by Joaquim Dos Santos. Featuring Shameik Moore, Hailee Steinfeld, Brian Tyree, and others, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.9. With a runtime of 116 minutes, it is rated R."
Hercules,"Hercules (1997) is a animation film directed by Ron Clements. Featuring Tate Donovan, this movie has an IMDb rating of 7.3/10 and a MetaScore of 74.0. With a runtime of 93 minutes, it is rated G."
Sing,"Sing (2016) is a animation film directed by Garth Jennings. Featuring Matthew Mc, Conaughey, this movie has an IMDb rating of 7.1/10 and a MetaScore of 59.0. With a runtime of 108 minutes, it is rated PG."
Castle in the Sky,"Castle in the Sky (1986) is a animation film directed by Hayao Miyazaki. Featuring Mayumi Tanaka, this movie has an IMDb rating of 8.0/10 and a MetaScore of 78.0. With a runtime of 125 minutes, it is rated PG."
"Monsters, Inc.","Monsters, Inc. (2001) is a animation film directed by Pete Docter. Featuring Billy Crystal, this movie has an IMDb rating of 8.1/10 and a MetaScore of 79.0. With a runtime of 92 minutes, it is rated G."
Tangled,"Tangled (2010) is a animation film directed by Nathan Greno. Featuring Mandy Moore, this movie has an IMDb rating of 7.7/10 and a MetaScore of 71.0. With a runtime of 100 minutes, it is rated PG."
Up,"Up (2009) is a animation film directed by Pete Docter. Featuring Edward Asner, this movie has an IMDb rating of 8.3/10 and a MetaScore of 88.0. With a runtime of 96 minutes, it is rated PG."
Toy Story,"Toy Story (1995) is a animation film directed by John Lasseter. Featuring Tom Hanks, this movie has an IMDb rating of 8.3/10 and a MetaScore of 96.0. With a runtime of 81 minutes, it is rated G."
