Title,IMDb Rating,Year,Certificates,Director,Star Cast,MetaScore,Duration (minutes),Poster-src,Genres
Gladiator,8.5,2000,R,Ridley Scott,"David Franzoni,John Logan,William Nicholson",67,155,No Poster Available,Action
Mission: Impossible - Dead Reckoning Part One,7.7,2023,PG-13,Christopher McQuarrie,"Tom Cruise,Hayley Atwell,Ving Rhames",81,163,No Poster Available,Action
Inglourious Basterds,8.4,2009,R,Quentin Tarantino,"Brad Pitt,Diane Kruger,Eli Roth",69,153,No Poster Available,Adventure
The Lord of the Rings: The Fellowship of the Ring,8.9,2001,PG-13,Peter Jackson,"J.R.R. Tolkien, Fran Walsh,Philippa Boyens",92,178,No Poster Available,Action
Damsel,6.1,2024,PG-13,Juan Carlos Fresnadillo,"Millie Bobby Brown, Ray Winstone, Angela Bassett",46,110,No Poster Available,Action
Arthur the King,7,2024,PG-13,Simon Cellan Jones,"Mark Wahlberg,Simu Liu,Juliet Rylance",54,107,No Poster Available,Adventure
Golden Kamuy,6.3,2024,R,Shigeaki Kubo,"Kento Yamazaki,Anna Yamada,Yûma Yamoto",66,116.3,No Poster Available,Action
WALL·E,8.4,2008,G,Andrew Stanton,Ben Burtt,95,98,"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
Spider-Man: Beyond the Spider-Verse,7.1,2015,R,Joaquim Dos Santos,"Shameik Moore,Hailee Steinfeld,Brian Tyree,Henry",66.9,116.3,No Poster Available,Animation
Hercules,7.3,1997,G,Ron Clements,Tate Donovan,74,93,"https://m.media-amazon.com/images/M/MV5BZDcwYjEyNWItMGI1Mi00MjI1LWIyMDEtMTQ4YjhkNjM4NDU3XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
Sing,7.1,2016,PG,Garth Jennings,"Matthew Mc,Conaughey",59,108,"https://m.media-amazon.com/images/M/MV5BMTYzODYzODU2Ml5BMl5BanBnXkFtZTgwNTc1MTA2NzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
Castle in the Sky,8,1986,PG,Hayao Miyazaki,Mayumi Tanaka,78,125,"https://m.media-amazon.com/images/M/MV5BNDFhZmY2NTgtMzljYy00MTlhLTgyMjItNTEwZWJkYThhYzkyXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",Animation
"Monsters, Inc.",8.1,2001,G,Pete Docter,Billy Crystal,79,92,"https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
Tangled,7.7,2010,PG,Nathan Greno,Mandy Moore,71,100,"https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
